Date,Time,Irradiance
12/29/2024,3:24:20,335.8
12/29/2024,3:34:20,693.7
12/29/2024,3:44:20,242.4
12/29/2024,3:54:20,397.4
12/29/2024,4:04:20,476.8
12/29/2024,4:14:20,477.5
12/29/2024,4:24:20,469.0
12/29/2024,4:34:20,734.1
12/29/2024,4:44:20,513.0
12/29/2024,4:54:20,469.0
12/29/2024,5:04:20,684.5
12/29/2024,5:14:20,743.3
12/29/2024,5:24:20,544.8
12/29/2024,5:34:20,662.9
12/29/2024,5:44:20,730.8
12/29/2024,5:54:20,706.1
12/29/2024,6:04:20,593.0
12/29/2024,6:14:20,596.4
12/29/2024,6:24:20,495.3
12/29/2024,6:34:20,467.7
12/29/2024,6:44:20,372.2
12/29/2024,6:54:20,334.7
12/29/2024,7:04:20,422.8
12/29/2024,7:14:20,407.9
12/29/2024,7:24:20,395.5
12/29/2024,7:34:20,347.4
12/29/2024,7:44:20,351.8
12/29/2024,7:54:20,324.4
12/29/2024,8:04:20,303.1
12/29/2024,8:14:20,268.8
12/29/2024,8:24:20,278.0
12/29/2024,8:34:20,262.6
12/29/2024,8:44:20,234.3
12/29/2024,8:54:20,206.0
12/29/2024,9:04:20,179.9
12/29/2024,9:14:20,157.0
12/29/2024,9:24:20,137.6
12/29/2024,9:34:20,121.1
12/29/2024,9:44:20,106.2
12/29/2024,9:54:20,092.0
12/29/2024,10:04:20,077.4
12/29/2024,10:14:20,058.7
12/29/2024,10:24:20,042.5
12/29/2024,10:34:20,027.3
12/29/2024,10:44:20,011.8
12/29/2024,10:54:20,005.5
12/29/2024,11:04:20,001.8
12/29/2024,11:14:20,000.4
12/29/2024,11:24:20,000.0
12/29/2024,11:34:20,000.0
12/29/2024,11:44:20,000.0
12/29/2024,11:54:20,000.0
12/29/2024,12:04:20,000.0
12/29/2024,12:14:20,000.0
12/29/2024,12:24:20,000.0
12/29/2024,12:34:20,000.0
12/29/2024,12:44:20,000.0
12/29/2024,12:54:20,000.0
12/29/2024,13:04:20,000.0
12/29/2024,13:14:20,000.0
12/29/2024,13:24:20,000.0
12/29/2024,13:34:20,000.0
12/29/2024,13:44:20,000.0
12/29/2024,13:54:20,000.0
12/29/2024,14:04:20,000.0
12/29/2024,14:14:20,000.0
12/29/2024,14:24:20,000.0
12/29/2024,14:34:20,000.0
12/29/2024,14:44:20,000.0
12/29/2024,14:54:20,000.0
12/29/2024,15:04:20,000.0
12/29/2024,15:14:20,000.0
12/29/2024,15:24:20,000.0
12/29/2024,15:34:20,000.0
12/29/2024,15:44:20,000.0
12/29/2024,15:54:20,000.0
12/29/2024,16:04:20,000.0
12/29/2024,16:14:20,000.0
12/29/2024,16:24:20,000.0
12/29/2024,16:34:20,000.0
12/29/2024,16:44:20,000.0
12/29/2024,16:54:20,000.0
12/29/2024,17:04:20,000.0
12/29/2024,17:14:20,000.0
12/29/2024,17:24:20,000.0
12/29/2024,17:34:20,000.0
12/29/2024,17:44:20,000.0
12/29/2024,17:54:20,000.0
12/29/2024,18:04:20,000.0
12/29/2024,18:14:20,000.0
12/29/2024,18:24:20,000.0
12/29/2024,18:34:20,000.0
12/29/2024,18:44:20,000.0
12/29/2024,18:54:20,000.0
12/29/2024,19:04:20,000.0
12/29/2024,19:14:20,000.0
12/29/2024,19:24:20,000.0
12/29/2024,19:34:20,000.0
12/29/2024,19:44:20,000.0
12/29/2024,19:54:20,000.0
12/29/2024,20:04:20,000.0
12/29/2024,20:14:20,000.0
12/29/2024,20:24:20,000.0
12/29/2024,20:34:20,000.0
12/29/2024,20:44:20,000.0
12/29/2024,20:54:20,000.0
12/29/2024,21:04:20,000.0
12/29/2024,21:14:20,000.0
12/29/2024,21:24:20,000.0
12/29/2024,21:34:20,000.0
12/29/2024,21:44:20,000.0
12/29/2024,21:54:20,000.0
12/29/2024,22:04:20,000.0
12/29/2024,22:14:20,000.0
12/29/2024,22:24:20,000.0
12/29/2024,22:34:20,000.0
12/29/2024,22:44:20,000.6
12/29/2024,22:54:20,001.8
12/29/2024,23:04:20,005.7
12/29/2024,23:14:20,011.7
12/29/2024,23:24:20,014.8
12/29/2024,23:34:20,006.3
12/29/2024,23:44:20,009.5
12/29/2024,23:54:20,019.3
12/30/2024,0:04:20,019.5
12/30/2024,0:14:20,025.6
12/30/2024,0:24:20,033.3
12/30/2024,0:34:20,072.8
12/30/2024,0:44:20,080.7
12/30/2024,0:54:20,049.2
12/30/2024,1:04:20,109.4
12/30/2024,1:14:20,121.7
12/30/2024,1:24:20,069.7
12/30/2024,1:34:20,084.8
12/30/2024,1:44:20,080.9
12/30/2024,1:54:20,109.2
12/30/2024,2:04:20,106.1
12/30/2024,2:14:20,109.3
12/30/2024,2:24:20,130.3
12/30/2024,2:34:20,123.7
12/30/2024,2:44:20,113.3
12/30/2024,2:54:20,064.8
12/30/2024,3:04:20,178.5
12/30/2024,3:14:20,244.5
12/30/2024,3:24:20,243.6
12/30/2024,3:34:20,309.3
12/30/2024,3:44:20,245.6
12/30/2024,3:54:20,198.9
12/30/2024,4:04:20,170.8
12/30/2024,4:14:20,148.7
12/30/2024,4:24:20,144.4
12/30/2024,4:34:20,172.7
12/30/2024,4:44:20,147.5
12/30/2024,4:54:20,120.9
12/30/2024,5:04:20,092.0
12/30/2024,5:14:20,084.6
12/30/2024,5:24:20,099.0
12/30/2024,5:34:20,101.4
12/30/2024,5:44:20,122.9
12/30/2024,5:54:20,083.2
12/30/2024,6:04:20,092.0
12/30/2024,6:14:20,170.9
12/30/2024,6:24:20,203.5
12/30/2024,6:34:20,260.4
12/30/2024,6:44:20,257.5
12/30/2024,6:54:20,261.6
12/30/2024,7:04:20,198.0
12/30/2024,7:14:20,213.4
12/30/2024,7:24:20,257.4
12/30/2024,7:34:20,323.5
12/30/2024,7:44:20,194.9
12/30/2024,7:54:20,202.3
12/30/2024,8:04:20,278.3
12/30/2024,8:14:20,253.1
12/30/2024,8:24:20,218.8
12/30/2024,8:34:20,194.2
12/30/2024,8:44:20,135.4
12/30/2024,8:54:20,119.9
12/30/2024,9:04:20,108.1
12/30/2024,9:14:20,112.8
12/30/2024,9:24:20,096.1
12/30/2024,9:34:20,077.9
12/30/2024,9:44:20,064.5
12/30/2024,9:54:20,042.1
12/30/2024,10:04:20,035.8
12/30/2024,10:14:20,025.6
12/30/2024,10:24:20,018.2
12/30/2024,10:34:20,012.0
12/30/2024,10:44:20,007.3
12/30/2024,10:54:20,003.3
12/30/2024,11:04:20,000.7
12/30/2024,11:14:20,000.1
12/30/2024,11:24:20,000.0
12/30/2024,11:34:20,000.0
12/30/2024,11:44:20,000.0
12/30/2024,11:54:20,000.0
12/30/2024,12:04:20,000.0
12/30/2024,12:14:20,000.0
12/30/2024,12:24:20,000.0
12/30/2024,12:34:20,000.0
12/30/2024,12:44:20,000.0
12/30/2024,12:54:20,000.0
12/30/2024,13:04:20,000.0
12/30/2024,13:14:20,000.0
12/30/2024,13:24:20,000.0
12/30/2024,13:34:20,000.0
12/30/2024,13:44:20,000.0
12/30/2024,13:54:20,000.0
12/30/2024,14:04:20,000.0
12/30/2024,14:14:20,000.0
12/30/2024,14:24:20,000.0
12/30/2024,14:34:20,000.0
12/30/2024,14:44:20,000.0
12/30/2024,14:54:20,000.0
12/30/2024,15:04:20,000.0
12/30/2024,15:14:20,000.0
12/30/2024,15:24:20,000.0
12/30/2024,15:34:20,000.0
12/30/2024,15:44:20,000.0
12/30/2024,15:54:20,000.0
12/30/2024,16:04:20,000.0
12/30/2024,16:14:20,000.0
12/30/2024,16:24:20,000.0
12/30/2024,16:34:20,000.0
12/30/2024,16:44:20,000.0
12/30/2024,16:54:20,000.0
12/30/2024,17:04:20,000.0
12/30/2024,17:14:20,000.0
12/30/2024,17:24:20,000.0
12/30/2024,17:34:20,000.0
12/30/2024,17:44:20,000.0
12/30/2024,17:54:20,000.0
12/30/2024,18:04:20,000.0
12/30/2024,18:14:20,000.0
12/30/2024,18:24:20,000.0
12/30/2024,18:34:20,000.0
12/30/2024,18:44:20,000.0
12/30/2024,18:54:20,000.0
12/30/2024,19:04:20,000.0
12/30/2024,19:14:20,000.0
12/30/2024,19:24:20,000.0
12/30/2024,19:34:20,000.0
12/30/2024,19:44:20,000.0
12/30/2024,19:54:20,000.0
12/30/2024,20:04:20,000.0
12/30/2024,20:14:20,000.0
12/30/2024,20:24:20,000.0
12/30/2024,20:34:20,000.0
12/30/2024,20:44:20,000.0
12/30/2024,20:54:20,000.0
12/30/2024,21:04:20,000.0
12/30/2024,21:14:20,000.0
12/30/2024,21:24:20,000.0
12/30/2024,21:34:20,000.0
12/30/2024,21:44:20,000.0
12/30/2024,21:54:20,000.0
12/30/2024,22:04:20,000.0
12/30/2024,22:14:20,000.0
12/30/2024,22:24:20,000.0
12/30/2024,22:34:20,000.0
12/30/2024,22:44:20,000.7
12/30/2024,22:54:20,002.8
12/30/2024,23:04:20,009.5
12/30/2024,23:14:20,019.9
12/30/2024,23:24:20,039.0
12/30/2024,23:34:20,043.5
12/30/2024,23:44:20,049.4
12/30/2024,23:54:20,065.6
12/31/2024,0:04:20,089.7
12/31/2024,0:14:20,110.8
12/31/2024,0:24:20,142.8
12/31/2024,0:34:20,168.2
12/31/2024,0:44:20,184.5
12/31/2024,0:54:20,188.4
12/31/2024,1:04:20,313.8
12/31/2024,1:14:20,339.0
12/31/2024,1:24:20,203.4
12/31/2024,1:34:20,331.8
12/31/2024,1:44:20,276.0
12/31/2024,1:54:20,249.9
12/31/2024,2:04:20,632.1
12/31/2024,2:14:20,257.5
12/31/2024,2:24:20,305.7
12/31/2024,2:34:20,744.4
12/31/2024,2:44:20,435.7
12/31/2024,2:54:20,623.3
12/31/2024,3:04:20,321.1
12/31/2024,3:14:20,326.3
12/31/2024,3:24:20,358.6
12/31/2024,3:34:20,364.7
12/31/2024,3:44:20,369.4
12/31/2024,3:54:20,367.9
12/31/2024,4:04:20,397.9
12/31/2024,4:14:20,345.1
12/31/2024,4:24:20,643.4
12/31/2024,4:34:20,892.0
12/31/2024,4:44:20,514.2
12/31/2024,4:54:20,424.1
12/31/2024,5:04:20,498.2
12/31/2024,5:14:20,336.5
12/31/2024,5:24:20,507.2
12/31/2024,5:34:20,671.1
12/31/2024,5:44:20,426.5
12/31/2024,5:54:20,418.8
12/31/2024,6:04:20,274.8
12/31/2024,6:14:20,386.2
12/31/2024,6:24:20,486.2
12/31/2024,6:34:20,864.8
12/31/2024,6:44:20,188.4
12/31/2024,6:54:20,299.3
12/31/2024,7:04:20,735.9
12/31/2024,7:14:20,777.1
12/31/2024,7:24:20,571.1
12/31/2024,7:34:20,361.3
12/31/2024,7:44:20,638.0
12/31/2024,7:54:20,590.7
12/31/2024,8:04:20,516.2
12/31/2024,8:14:20,304.5
12/31/2024,8:24:20,431.2
12/31/2024,8:34:20,354.3
12/31/2024,8:44:20,359.9
12/31/2024,8:54:20,300.9
12/31/2024,9:04:20,240.0
12/31/2024,9:14:20,310.5
12/31/2024,9:24:20,184.9
12/31/2024,9:34:20,155.8
12/31/2024,9:44:20,141.5
12/31/2024,9:54:20,191.1
12/31/2024,10:04:20,190.8
12/31/2024,10:14:20,180.5
12/31/2024,10:24:20,147.4
12/31/2024,10:34:20,077.2
12/31/2024,10:44:20,050.2
12/31/2024,10:54:20,015.8
12/31/2024,11:04:20,003.2
12/31/2024,11:14:20,000.6
12/31/2024,11:24:20,000.0
12/31/2024,11:34:20,000.0
12/31/2024,11:44:20,000.0
12/31/2024,11:54:20,000.0
12/31/2024,12:04:20,000.0
12/31/2024,12:14:20,000.0
12/31/2024,12:24:20,000.0
12/31/2024,12:34:20,000.0
12/31/2024,12:44:20,000.0
12/31/2024,12:54:20,000.0
12/31/2024,13:04:20,000.0
12/31/2024,13:14:20,000.0
12/31/2024,13:24:20,000.0
12/31/2024,13:34:20,000.0
12/31/2024,13:44:20,000.0
12/31/2024,13:54:20,000.0
12/31/2024,14:04:20,000.0
12/31/2024,14:14:20,000.0
12/31/2024,14:24:20,000.0
12/31/2024,14:34:20,000.0
12/31/2024,14:44:20,000.0
12/31/2024,14:54:20,000.0
12/31/2024,15:04:20,000.0
12/31/2024,15:14:20,000.0
12/31/2024,15:24:20,000.0
12/31/2024,15:34:20,000.0
12/31/2024,15:44:20,000.0
12/31/2024,15:54:20,000.0
12/31/2024,16:04:20,000.0
12/31/2024,16:14:20,000.0
12/31/2024,16:24:20,000.0
12/31/2024,16:34:20,000.0
12/31/2024,16:44:20,000.0
12/31/2024,16:54:20,000.0
12/31/2024,17:04:20,000.0
12/31/2024,17:14:20,000.0
12/31/2024,17:24:20,000.0
12/31/2024,17:34:20,000.0
12/31/2024,17:44:20,000.0
12/31/2024,17:54:20,000.0
12/31/2024,18:04:20,000.0
12/31/2024,18:14:20,000.0
12/31/2024,18:24:20,000.0
12/31/2024,18:34:20,000.0
12/31/2024,18:44:20,000.0
12/31/2024,18:54:20,000.0
12/31/2024,19:04:20,000.0
12/31/2024,19:14:20,000.0
12/31/2024,19:24:20,000.0
12/31/2024,19:34:20,000.0
12/31/2024,19:44:20,000.0
12/31/2024,19:54:20,000.0
12/31/2024,20:04:20,000.0
12/31/2024,20:14:20,000.0
12/31/2024,20:24:20,000.0
12/31/2024,20:34:20,000.0
12/31/2024,20:44:20,000.0
12/31/2024,20:54:20,000.0
12/31/2024,21:04:20,000.0
12/31/2024,21:14:20,000.0
12/31/2024,21:24:20,000.0
12/31/2024,21:34:20,000.0
12/31/2024,21:44:20,000.0
12/31/2024,21:54:20,000.0
12/31/2024,22:04:20,000.0
12/31/2024,22:14:20,000.0
12/31/2024,22:24:20,000.0
12/31/2024,22:34:20,000.0
12/31/2024,22:44:20,000.2
12/31/2024,22:54:20,000.9
12/31/2024,23:04:20,003.5
12/31/2024,23:14:20,008.1
12/31/2024,23:24:20,016.8
12/31/2024,23:34:20,026.2
12/31/2024,23:44:20,037.1
12/31/2024,23:54:20,046.4
1/1/2025,0:04:20,053.6
1/1/2025,0:14:20,052.5
1/1/2025,0:24:20,039.2
1/1/2025,0:34:20,091.1
1/1/2025,0:44:20,085.8
1/1/2025,0:54:20,113.8
1/1/2025,1:04:20,117.0
1/1/2025,1:14:20,121.9
1/1/2025,1:24:20,122.2
1/1/2025,1:34:20,126.8
1/1/2025,1:44:20,124.6
1/1/2025,1:54:20,165.0
1/1/2025,2:04:20,180.3
1/1/2025,2:14:20,183.6
1/1/2025,2:24:20,196.7
1/1/2025,2:34:20,218.0
1/1/2025,2:44:20,148.0
1/1/2025,2:54:20,118.4
1/1/2025,3:04:20,126.6
1/1/2025,3:14:20,106.2
1/1/2025,3:24:20,106.8
1/1/2025,3:34:20,122.3
1/1/2025,3:44:20,143.8
1/1/2025,3:54:20,089.8
1/1/2025,4:04:20,038.1
1/1/2025,4:14:20,025.4
1/1/2025,4:24:20,024.5
1/1/2025,4:34:20,007.8
1/1/2025,4:44:20,003.9
1/1/2025,4:54:20,017.3
1/1/2025,5:04:20,021.0
1/1/2025,5:14:20,024.4
1/1/2025,5:24:20,029.7
1/1/2025,5:34:20,038.5
1/1/2025,5:44:20,047.2
1/1/2025,5:54:20,060.8
1/1/2025,6:04:20,072.6
1/1/2025,6:14:20,088.3
1/1/2025,6:24:20,108.0
1/1/2025,6:34:20,131.4
1/1/2025,6:44:20,160.3
1/1/2025,6:54:20,189.6
1/1/2025,7:04:20,208.7
1/1/2025,7:14:20,221.5
1/1/2025,7:24:20,235.2
1/1/2025,7:34:20,252.4
1/1/2025,7:44:20,251.3
1/1/2025,7:54:20,238.8
1/1/2025,8:04:20,238.9
1/1/2025,8:14:20,223.2
1/1/2025,8:24:20,220.5
1/1/2025,8:34:20,205.3
1/1/2025,8:44:20,191.9
1/1/2025,8:54:20,153.9
1/1/2025,9:04:20,142.9
1/1/2025,9:14:20,143.9
1/1/2025,9:24:20,118.1
1/1/2025,9:34:20,047.5
1/1/2025,9:44:20,050.3
1/1/2025,9:54:20,076.0
1/1/2025,10:04:20,072.0
1/1/2025,10:14:20,060.2
1/1/2025,10:24:20,046.9
1/1/2025,10:34:20,031.7
1/1/2025,10:44:20,019.2
1/1/2025,10:54:20,008.9
1/1/2025,11:04:20,002.1
1/1/2025,11:14:20,000.6
1/1/2025,11:24:20,000.0
1/1/2025,11:34:20,000.0
1/1/2025,11:44:20,000.0
1/1/2025,11:54:20,000.0
1/1/2025,12:04:20,000.0
1/1/2025,12:14:20,000.0
1/1/2025,12:24:20,000.0
1/1/2025,12:34:20,000.0
1/1/2025,12:44:20,000.0
1/1/2025,12:54:20,000.0
1/1/2025,13:04:20,000.0
1/1/2025,13:14:20,000.0
1/1/2025,13:24:20,000.0
1/1/2025,13:34:20,000.0
1/1/2025,13:44:20,000.0
1/1/2025,13:54:20,000.0
1/1/2025,14:04:20,000.0
1/1/2025,14:14:20,000.0
1/1/2025,14:24:20,000.0
1/1/2025,14:34:20,000.0
1/1/2025,14:44:20,000.0
1/1/2025,14:54:20,000.0
1/1/2025,15:04:20,000.0
1/1/2025,15:14:20,000.0
1/1/2025,15:24:20,000.0
1/1/2025,15:34:20,000.0
1/1/2025,15:44:20,000.0
1/1/2025,15:54:20,000.0
1/1/2025,16:04:20,000.0
1/1/2025,16:14:20,000.0
1/1/2025,16:24:20,000.0
1/1/2025,16:34:20,000.0
1/1/2025,16:44:20,000.0
1/1/2025,16:54:20,000.0
1/1/2025,17:04:20,000.0
1/1/2025,17:14:20,000.0
1/1/2025,17:24:20,000.0
1/1/2025,17:34:20,000.0
1/1/2025,17:44:20,000.0
1/1/2025,17:54:20,000.0
1/1/2025,18:04:20,000.0
1/1/2025,18:14:20,000.0
1/1/2025,18:24:20,000.0
1/1/2025,18:34:20,000.0
1/1/2025,18:44:20,000.0
1/1/2025,18:54:20,000.0
1/1/2025,19:04:20,000.0
1/1/2025,19:14:20,000.0
1/1/2025,19:24:20,000.0
1/1/2025,19:34:20,000.0
1/1/2025,19:44:20,000.0
1/1/2025,19:54:20,000.0
1/1/2025,20:04:20,000.0
1/1/2025,20:14:20,000.0
1/1/2025,20:24:20,000.0
1/1/2025,20:34:20,000.0
1/1/2025,20:44:20,000.0
1/1/2025,20:54:20,000.0
1/1/2025,21:04:20,000.0
1/1/2025,21:14:20,000.0
1/1/2025,21:24:20,000.0
1/1/2025,21:34:20,000.0
1/1/2025,21:44:20,000.0
1/1/2025,21:54:20,000.0
1/1/2025,22:04:20,000.0
1/1/2025,22:14:20,000.0
1/1/2025,22:24:20,000.0
1/1/2025,22:34:20,000.1
1/1/2025,22:44:20,000.9
1/1/2025,22:54:20,002.2
1/1/2025,23:04:20,006.8
1/1/2025,23:14:20,010.6
1/1/2025,23:24:20,022.0
1/1/2025,23:34:20,040.4
1/1/2025,23:44:20,084.5
1/1/2025,23:54:20,078.7
1/2/2025,0:04:20,063.7
1/2/2025,0:14:20,121.0
1/2/2025,0:24:20,062.3
1/2/2025,0:34:20,104.1
1/2/2025,0:44:20,197.5
1/2/2025,0:54:20,235.8
1/2/2025,1:04:20,200.2
1/2/2025,1:14:20,136.2
1/2/2025,1:24:20,415.7
1/2/2025,1:34:20,267.1
1/2/2025,1:44:20,160.3
1/2/2025,1:54:20,153.9
1/2/2025,2:04:20,212.4
1/2/2025,2:14:20,365.8
